1,follow,～の後に続く、～に従う
2,consider,～を考慮する
3,increase,増える、～を増やす
4,expect,～を予期する
5,decide,～することを決意する
6,develop,発達する、～を発達させる
7,provide,～を供給する、与える
8,continue,続く、～を続ける
9,include,～を含む、含める
10,remain,ままでいる
11,reach,～に着く、～に達する
12,allow,～を許可する
13,force,～を強制する
14,offer,～を申し出る
15,realize,～を悟る
16,suggest,～と提案する、～をほのめかす
17,require,～を必要とする
18,worry,心配する
19,wonder,～かと疑問に思う
20,cost,～を要する
21,tend,～する傾向がある、～しがちである
22,depend,～に依存する、～しだいで決まる
23,share,～を分け合う、共有する
24,demand,～を要求する
25,support,～を支持する
26,hire,～を雇う
27,regard,AをBだと思う、みなす
28,base,AがBに基づいている
29,improve,～を向上させる
30,recognize,～を認める
31,notice,～に気づく
32,suppose,～だと思う
33,raise,～を上げる、～を育てる
34,prefer,～をより好む
35,cheer,～を励ます
36,suffer,～を経験する、受ける、苦しむ
37,describe,～を描写する、～の特徴を説明する
38,prevent,～をさまたげる
39,reduce,～を減らす
40,mistake,～を誤解する、まちがえる
41,prepare,～の準備をする
42,encourage,はげます
43,prove,～だとわかる
44,treat,～をあつかう
45,establish,～を設立する、創立する
46,relate,関係がある
47,compare,～を比較する、～をたとえる
48,spread,～を広げる；広がる
49,refer,～を指示する
50,supply,～を供給する
51,gain,～を得る
52,destroy,～を破壊する
53,apply,当てはまる、申し込む
54,seek,～を求める
55,search,～を捜す
56,claim,～と主張する
57,draw,～を引っぱる
58,refuse,～を断る
59,respond,～に返答する
60,mention,～について述べる
61,judge,～を判断する
62,approach,～に接近する；～に取り組む；方法
63,admit,～を認める
64,reflect,～を反映する、～を反射する
65,perform,～を行う、～を遂行する
66,bore,～をうんざりさせる
67,survive,生き残る
68,represent,～を表す
69,argue,～と主張する
70,grant,～を認める、～を与える
71,indicate,～を指し示す
72,belong,所属している
73,acquire,～を習得する
74,reply,返事をする
75,feed,～にエサをやる
76,escape,逃げる
77,replace,～に取って代わる、～を取り替える
78,reveal,～を明らかにする
79,surround,～を取り囲む
80,suit,～に合う
81,estimate,～を推定する
82,aim,～をねらう
83,earn,～をもうける、かせぐ
84,decline,衰退する、低下する、～を辞退する
85,afford,～をする余裕がある
86,confuse,～を当惑させる
87,graduate,～を卒業する
88,vary,変わる、さまざまである
89,remove,～を移す、取り去る
90,insist,～と主張する、言い張る
91,examine,～を調査する
92,remind,ＡにＢを思い出させる
93,contribute,～に貢献する、～の一因となる、AをBに寄付する
94,warn,～に警告する
95,connect,～をつなぐ
96,match,～に匹敵する、～に調和する
97,focus,焦点を合わせる
98,reject,～を断る
99,convince,～を納得させる、確信させる
100,associate,AをBに関連づける、AからBを連想する
101,rush,急いで行く
102,stress,～を強調する
103,attract,～を引きつける
104,rely,Aに頼る
105,regret,～を後悔する
106,adopt,～を採用する
107,shake,～を振る
108,hurt,～を傷つける
109,operate,作動する、～を操作する、手術する
110,extend,～を広げる、延長する
111,blame,～を非難する、～のせいにする
112,consist,Aで構成されている
113,persuade,～を説得する
114,admire,～に感心する
115,disappoint,～を失望させる
116,expand,拡大する
117,preserve,～を保護する
118,struggle,苦闘する、もがく
119,arrange,～の手はずを整える、～を配列する
120,disturb,～を妨げる
121,employ,～を雇う、～を用いる
122,engage,Aに従事する、Aを行う
123,abandon,～を捨てる
124,display,～を展示する、～を表す
125,encounter,～に偶然出会う
126,amuse,～を楽しませる
127,bother,～に面倒をかける、困らせる
128,concentrate,集中する
129,adapt,～を適応させる、適応する
130,puzzle,～を当惑させる
131,appeal,Aに訴える、～を引きつける
132,combine,～を結合させる
133,delay,～を遅らせる
134,repair,～を修理する
135,fascinate,～を夢中にさせる
136,Pardon,～を許す
137,import,～を輸入する
138,remark,述べる
139,reserve,～を予約する、～を取っておく
140,amaze,～を驚嘆させる
141,frighten,～をおびえさせる
142,release,～を解放する、～を発表する
143,rent,～を賃借りする
144,recover,Aから回復する
145,suspect,～ではないかと思う、～を疑う
146,deliver,～を配達する、渡す、～をする
147,identify,～の正体をつきとめる、Aと共感する
148,locate,位置する
149,manufacture,～を製造する
150,occupy,～を占める
151,own,～を所有している
152,expose,ＡをＢにさらす
153,translate,～を翻訳する
154,cure,～を治療する
155,perceive,～を知覚する
156,adjust,～に慣れる、調節して合わせる
157,alarm,～をぎょっとさせる、おびえさせる
158,assist,～を助ける、～を手伝う
159,freeze,凍りつく
160,spoil,～を台無しにする
161,shift,～を変える
162,embarrass,～を困惑させる、～に恥ずかしい思いをさせる
163,approve,賛成する；～を承認する
164,weigh,～の重さがある、～を比較検討する、よく考える
165,stretch,～を広げる
166,participate,Aに参加する
167,exhibit,～を展示する
168,owe,AのことはBのおかげだ
169,celebrate,～を祝う
170,decorate,～を装飾する
171,forgive,～を許す
172,seat,(be seated)座っている
173,injure,～を傷つける
174,sew,～を縫う
332,explain,～を説明する
333,accept,～を受け入れる
334,produce,～を生産する
335,exist,存在する
336,express,～を表現する
337,add,～を加える
338,avoid,～を避ける
339,marry,～と結婚する
340,protect,～を守る
341,affect,～に影響する
342,determine,～を決定する
343,solve,～を解決する
344,contain,～を含んでいる
345,discuss,～を議論する
346,ignore,～を無視する
347,guess,～を推測する
348,exchange,交換する
349,satisfy,～を満たす
350,complain,苦情を言う
351,achieve,～を達成する
352,enable,～を可能にする
353,intend,つもりだ
354,obtain,～を得る
355,divide,分割する
3000,remember,〜を覚えている、思い出す
3001,forget,忘れる
